"AAPL";"Apple Inc";1163246
"MSFT";"Microsoft Corp";1112966
"GOOG";"Alphabet Inc";895214
"GOOGL";"Alphabet Inc";894193
"AMZN";"Amazon.com Inc";876906
"FB";"Facebook Inc";540092
"BRK.B";"Berkshire Hathaway Inc";539621
"JPM";"JPMorgan Chase & Co";407366
"V";"Visa Inc";40014
"JNJ";"Johnson & Johnson";346591
"WMT";"Walmart Inc";337986
"XOM";"Exxon Mobil Corp";298335
"BAC";"Bank of America Corp";298277
"PG";"Procter & Gamble Co";297761
"T";"AT&T Inc";287378
"MA";"Mastercard Inc";278728
"INTC";"Intel Corp";253822
"HD";"The Home Depot Inc";253571
"VZ";"Verizon Communications Inc";246327
"DIS";"The Walt Disney Co";24275
"UNH";"UnitedHealth Group Inc";240046
"CVX";"Chevron Corp";228455
"WFC";"Wells Fargo & Co";228343
"KO";"Coca-Cola Co";22215
"MRK";"Merck & Co Inc";211698
"BA";"Boeing Co";207152
"CMCSA";"Comcast Corp";205535
"CSCO";"Cisco Systems Inc";204637
"PFE";"Pfizer Inc";204043
"ORCL";"Oracle Corp";185166
"PEP";"PepsiCo Inc";184455
"C";"Citigroup Inc";165005
"ABT";"Abbott Laboratories";147825
"MCD";"McDonald's Corp";145015
"MDT";"Medtronic PLC";144444
"CRM";"Salesforce.com Inc";141468
"NKE";"Nike Inc";140479
"ADBE";"Adobe Inc";140445
"COST";"Costco Wholesale Corp";132196
"AMGN";"Amgen Inc";130779
"PM";"Philip Morris International Inc";130195
"HON";"Honeywell International Inc";12933
"NFLX";"Netflix Inc";129117
"UTX";"United Technologies Corp";128022
"NVDA";"NVIDIA Corp";126818
"ABBV";"AbbVie Inc";12638
"AVGO";"Broadcom Inc";123904
"UNP";"Union Pacific Corp";122554
"ACN";"Accenture PLC";120739
"PYPL";"PayPal Holdings Inc";120366
"IBM";"International Business Machines Corp";119853
"TMO";"Thermo Fisher Scientific Inc";117654
"TXN";"Texas Instruments Inc";110387
"LIN";"Linde PLC";109145
"NEE";"NextEra Energy Inc";108737
"LLY";"Eli Lilly and Co";108139
"LMT";"Lockheed Martin Corp";107598
"UPS";"United Parcel Service Inc";10546
"QCOM";"Qualcomm Inc";105346
"CHTR";"Charter Communications Inc";10159
"GE";"General Electric Co";99387
"AXP";"American Express Co";98888
"MMM";"3M Co";97816
"SBUX";"Starbucks Corp";97492
"DHR";"Danaher Corp";96457
"BMY";"Bristol-Myers Squibb Co";94661
"CVS";"CVS Health Corp";9324
"USB";"U.S. Bancorp";92248
"AMT";"American Tower Corp";92043
"LOW";"Lowe's Companies Inc";88208
"MO";"Altria Group Inc";86774
"CAT";"Caterpillar Inc";8176
"GILD";"Gilead Sciences Inc";81551
"FIS";"Fidelity National Information Services Inc";81176
"MS";"Morgan Stanley";79408
"BKNG";"Booking Holdings Inc";7931
"CELG";"Celgene Corp";77954
"GS";"Goldman Sachs Group Inc";77555
"BLK";"BlackRock Inc";75457
"FISV";"Fiserv Inc";74836
"MDLZ";"Mondelez International Inc";74568
"SYK";"Stryker Corp";74031
"CME";"CME Group Inc";71224
"ANTM";"Anthem Inc";70739
"TJX";"TJX Companies Inc";70722
"ADP";"Automatic Data Processing Inc";70603
"CI";"Cigna Corp";69834
"CB";"Chubb Ltd";6851
"TMUS";"T-Mobile US Inc";68009
"EL";"The Estee Lauder Companies Inc";67349
"INTU";"Intuit Inc";6707
"PNC";"PNC Financial Services Group Inc";6668
"D";"Dominion Energy Inc";6551
"BDX";"Becton, Dickinson and Co";6542
"COP";"ConocoPhillips";64694
"DUK";"Duke Energy Corp";63883
"SO";"Southern Co";63511
"ISRG";"Intuitive Surgical Inc";62896
"SPGI";"S&P Global Inc";62282
"RTN";"Raytheon Co";60126
"AGN";"Allergan PLC";59503
"NOC";"Northrop Grumman Corp";58988
"CSX";"CSX Corp";5739
"CL";"Colgate-Palmolive Co";56942
"DE";"Deere & Co";5662
"TGT";"Target Corp";56391
"ITW";"Illinois Tool Works Inc";56368
"BSX";"Boston Scientific Corp";55934
"ZTS";"Zoetis Inc";55646
"SCHW";"Charles Schwab Corp";55356
"WBA";"Walgreens Boots Alliance Inc";5531
"PLD";"Prologis Inc";5524
"GM";"General Motors Co";55222
"CCI";"Crown Castle International Corp";54573
"ECL";"Ecolab Inc";54368
"SHW";"Sherwin-Williams Co";53503
"DD";"DuPont de Nemours Inc";53434
"GD";"General Dynamics Corp";53339
"BIIB";"Biogen Inc";52981
"PSX";"Phillips 66";52687
"AMAT";"Applied Materials Inc";52229
"MMC";"Marsh & McLennan Companies Inc";52096
"VRTX";"Vertex Pharmaceuticals Inc";51915
"APD";"Air Products & Chemicals Inc";51708
"GPN";"Global Payments Inc";51519
"MU";"Micron Technology Inc";51411
"ICE";"Intercontinental Exchange Inc";50717
"NSC";"Norfolk Southern Corp";50483
"SLB";"Schlumberger Ltd";50308
"EW";"Edwards Lifesciences Corp";48895
"LVS";"Las Vegas Sands Corp";4847
"AIG";"American International Group Inc";48299
"SPG";"Simon Property Group Inc";47721
"WM";"Waste Management Inc";4681
"HCA";"HCA Healthcare Inc";45846
"EQIX";"Equinix Inc";45748
"AON";"Aon PLC";45499
"EMR";"Emerson Electric Co";45369
"BK";"Bank of New York Mellon Corp";45224
"MET";"MetLife Inc";45209
"COF";"Capital One Financial Corp";4517
"KMI";"Kinder Morgan Inc";45163
"KMB";"Kimberly-Clark Corp";44969
"AEP";"American Electric Power Co Inc";43902
"ILMN";"Illumina Inc";43409
"LHX";"L3Harris Technologies Inc";431
"MAR";"Marriott International Inc";43093
"PGR";"Progressive Corp";43075
"EOG";"EOG Resources Inc";43009
"EXC";"Exelon Corp";42801
"MPC";"Marathon Petroleum Corp";42679
"FDX";"FedEx Corp";42262
"HUM";"Humana Inc";41847
"ADI";"Analog Devices Inc";41576
"BBT";"BB&T Corp";41564
"VLO";"Valero Energy Corp";41369
"DOW";"Dow Inc";41293
"MCO";"Moody's Corporation";41113
"SYY";"Sysco Corp";40853
"ROST";"Ross Stores Inc";40502
"AMD";"Advanced Micro Devices Inc";4038
"ATVI";"Activision Blizzard Inc";40325
"BAX";"Baxter International Inc";40323
"DG";"Dollar General Corp";40241
"SRE";"Sempra Energy";40119
"KHC";"The Kraft Heinz Co";39883
"AFL";"Aflac Inc";39644
"LRCX";"Lam Research Corp";39391
"ETN";"Eaton Corp PLC";37962
"REGN";"Regeneron Pharmaceuticals Inc";37846
"DAL";"Delta Air Lines Inc";37064
"PRU";"Prudential Financial Inc";37052
"PSA";"Public Storage";37011
"F";"Ford Motor Co";36001
"ALL";"Allstate Corp";35418
"STZ";"Constellation Brands Inc";35345
"ROP";"Roper Technologies Inc";35169
"OXY";"Occidental Petroleum Corp";34785
"VFC";"VF Corp";34525
"TRV";"The Travelers Companies Inc";3446
"CTSH";"Cognizant Technology Solutions Corp";34228
"WELL";"Welltower Inc";3375
"ADSK";"Autodesk Inc";33574
"ORLY";"O'Reilly Automotive Inc";33236
"JCI";"Johnson Controls International PLC";32845
"LYB";"LyondellBasell Industries NV";32357
"CCL";"Carnival Corp";31822
"GIS";"General Mills Inc";31609
"XEL";"Xcel Energy Inc";31499
"TEL";"TE Connectivity Ltd";31371
"MNST";"Monster Beverage Corp";31348
"EQR";"Equity Residential";31275
"LUV";"Southwest Airlines Co";31251
"IR";"Ingersoll-Rand PLC";31135
"STI";"SunTrust Banks Inc";31109
"PEG";"Public Service Enterprise Group Inc";30748
"BF.B";"Brown-Forman Corp";30638
